wl(nm),Sensitivity(A/W)
350,0.1498
355,0.149
360,0.1462
365,0.145
370,0.1461
375,0.151
380,0.1577
385,0.1646
390,0.1708
395,0.1763
400,0.1817
405,0.1866
410,0.191
415,0.1953
420,0.1995
425,0.2035
430,0.2073
435,0.2114
440,0.2149
445,0.2185
450,0.2219
455,0.2253
460,0.2289
465,0.2321
470,0.2355
475,0.2387
480,0.242
485,0.2452
490,0.2483
495,0.2515
500,0.2546
505,0.2577
510,0.2607
515,0.2638
520,0.2668
525,0.2699
530,0.2728
535,0.2758
540,0.2788
545,0.2818
550,0.2847
555,0.2877
560,0.2906
565,0.2935
570,0.2964
575,0.2993
580,0.3022
585,0.3051
590,0.308
595,0.3109
600,0.3137
605,0.3166
610,0.3194
615,0.3223
620,0.3251
625,0.328
630,0.3308
635,0.3336
640,0.3364
645,0.3392
650,0.342
655,0.3448
660,0.3476
665,0.3504
670,0.3532
675,0.356
680,0.3588
685,0.3616
690,0.3644
695,0.3672
700,0.3699
705,0.3728
710,0.3755
715,0.3783
720,0.3811
725,0.3838
730,0.3866
735,0.3893
740,0.3921
745,0.3949
750,0.3976
755,0.4004
760,0.4031
765,0.4059
770,0.4087
775,0.4114
780,0.4142
785,0.4169
790,0.4196
795,0.4224
800,0.4251
805,0.4279
810,0.4306
815,0.4333
820,0.436
825,0.4388
830,0.4415
835,0.4443
840,0.447
845,0.4497
850,0.4524
855,0.4551
860,0.4578
865,0.4605
870,0.4633
875,0.466
880,0.4686
885,0.4714
890,0.4739
895,0.4767
900,0.4793
905,0.482
910,0.4845
915,0.4872
920,0.4898
925,0.4923
930,0.4946
935,0.497
940,0.4991
945,0.501
950,0.5028
955,0.505
960,0.507
965,0.507
970,0.507
975,0.506
980,0.504
985,0.502
990,0.498
995,0.492
1000,0.485
1005,0.476
1010,0.465
1015,0.452
1020,0.436
1025,0.419
1030,0.399
1035,0.377
1040,0.353
1045,0.327
1050,0.301
1055,0.273
1060,0.244
1065,0.219
1070,0.2
1075,0.182
1080,0.165
1085,0.15
1090,0.135
1095,0.121
1100,0.108
